MInAS_Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,mims,lat_lon,lattitude and longitude should be placed in separate columns,
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,IGB (Ripan Malhi’ group),MimsHumanAssociatedAncient,mims,lat_lon,"The geographic location (lat and long) is a required field, but for many samples (e.g., especially those in museum context) that information isn’t always available. I would suggest just making sure that there is an option for saying NA or something similar",
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,mims,lat_lon,Lat and long being in the same column is confusing and difficult to manage once downloaded; Maybe add a coma or a semi colon in between,
,2025-10-14,seda2,James and Eleni,Andreas Altenburger,MimsSoilAncient;MimsSedimentAncient,mims,lat_long,"Lat:Lon → decimal, and should be separated",
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,lib_layout,"the column name doesn’t really fit the content. Its sequencing configuration (e.g. single read, paired end) not the library layout (single stranded, double stranded).",
,2025-10-14,seda2,James and Eleni,Madeline Slimp,MimsSoilAncient;MimsSedimentAncient,mims,lib_methods,lib_methods: recommended/required (match other similar terms),
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,lib_size,"unclear what that means. Maybe add ‘quantification of library molecules’ to the description, so the field can be used to add qPCR values",
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,lib_size,"Unclear what this means, what is a clone? Is this sequencing depth?",
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Martyna Molak,MimsHumanAssociatedAncient,mims,mid,"“Multiplex identifiers” does not allow two strings, so how does it work for dual-indexing?",
,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,mims,mid / mid_config,"What do you input if the methodology used does not require libraries (i.e. primer, PCR and sanger sequencing)? Could there be an option that states “Not applicable/ Not compatible with the methodology applied”",
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,mid_config,"Unclear what this is exactly, compared to the `mid` term tirself... ",
,2025-10-14,seda2,James and Eleni,Madeline Slimp,MimsSoilAncient;MimsSedimentAncient,mims,neg_cont_status,neg_cont_status: minimum recommended or required,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,neg_cont_status,Should be made mandatory (as it is a boolean),
,2025-10-14,seda2,James and Eleni,Madeline Slimp,MimsSoilAncient;MimsSedimentAncient,mims,samp_name,Intent of metadata: expected to start with sample ID! Got confused from then on and only came to required fields toward as the end,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,samp_name,Extend description to explain how to handle technical replicates,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,samp_vol_we_dna_ext,Should be recommended,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,sediment_type,Should be recommended (for sediment only),
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Ingrida Domarkienė,MimsHumanAssociatedAncient,mims,seq_meth,"Sequencing method - I would prefer either to rename it ""Sequencing instrument"", or change what is required to fill in - the actual method - shotgun seq by synthesis/ph change/.../ or capture seq by synthesis/ph change/.../",
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,soil_horizon ,"Its unclear to me, what this field refers to. If it refers to the ‘layer of origin’ it would be nice to have it more general, to include archaeological units/layers",
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,soil_taxonomic classification,"Also unclear to me, what scale is requested here. The soil of the sample, the layer, the site, the region? Is there a way to get that information from the geolocation? There is the “soil type”  column later, please clarify how these columns differ and what exactly is requested in each of the columns.",
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,mims,source_mat_id,Kind of confusing. What identifiers; provide examples,
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,tax_id,"Confusing term: taxid was not clear it refers to sample and not the DNA itself (should include in description how to handle metagenomes) | clarify that it is the ‘morphological’ taxID, not the taxa identified by DNA (e.g. for soil)",
,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,MimsHostAssociatedAncient,mims,tax_id,Should be required,
,2025-10-14,seda2,James and Eleni,Andreas Altenburger,MimsSoilAncient;MimsSedimentAncient,mims,temp,"Combining units with terms is annoying
Temperature: dataharmonizer is not showing the fixed ",
,2025-10-13,sedaDNA_1,James and Eleni,David Harning,MimsSedimentAncient,mims,temp,This is very vague what it is referring to - is it the sample? Ambient temperature of environment?,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,tot_org_carb,Should be recommended,
,2025-10-13,sedaDNA_1,James and Eleni,David Harning,MimsSedimentAncient,sediment,diether_lipids,Why specifically diether_lipids? Many other types that would be relevant,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,sediment,diss_inorg_carb,Not relevant for sedaDNA?,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,sediment,diss_org_carb,Not relevant for sedaDNA?,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,sediment,diss_org_nitro,Not relevant for sedaDNA?,
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Gözde Âtag,MimsSedimentAncient,sediment,org_matter,report if there is organic matter in there or if it doesn’t refer to that what it refers to make clear,
,2025-10-13,sedaDNA_1,James and Eleni,David Harning,MimsSedimentAncient,sediment,ph (and other water chemistry),"This should be duplicated for the surrounding environment, not just the sample itself (both are important)",
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
,,,,,,,,,In radiocarbon extension?
