MInAS Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
Meriam,2025-04-03,China,James Fellows Yates,Yichen Liu,MimsHumanAssociatedAncient,Ancient,lib_strandedness,"Agree, should be mandatory",
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach & Jonas Niemann,MimsHostAssociatedAncient,Ancient,lib_strandedness,should be mandatory. Add drop-down menu for these.,
Meriam,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Ancient,lib_type,Should be mandatory,
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Wenxi Li,MimsHostAssociatedAncient,Ancient,lib_type,Where do captured libraries go? (Perhaps definition/examples are unclear),
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Deon de Jager,MimsHostAssociatedAncient,Ancient,lib_type,"To describe captured libraries as amplicon-based is confusing, as I don't ever think or refer to these as amplicons (even though they technically are, I get it, but we can be more explicit here)",
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach & Jonas Niemann,MimsHostAssociatedAncient,Ancient,lib_type,should be mandatory. Add drop-down menu for these.,
Meriam,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Anna-Lena Titze,MimsHumanAssociatedAncient,Ancient,lib_type,This should be 'recommended',
Meriam,2025-06-19,HAAM,Thiseas,Marwa Abdelazeem,MimsHumanAssociatedAncient,Ancient,lib_type,Should be elevated to 'Recommended' or 'Required' status,
Meriam,2025-03-13,London1,Victor Yan Kin Lee,Marina Soares Da Silva,MimsHumanAssociatedAncient,Ancient,lib_type,Should be mandatory instead of optional,
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,lib_type,Add enrichment?,
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Jonas Niemann,MimsHostAssociatedAncient,Ancient,mid_config,Please provide a specific example of the format required for this field.,
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,mid_config,Maybe add an example to show that you can give the actual UDI kit name for example “NEB UDI XXX”,
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach & Jonas Niemann,MimsHostAssociatedAncient,Ancient,neg_cont_status,"should be mandatory, so it is explicitly stated whether the data are from a true sample or not, as a blank field here would be especially uncomfortable.",
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,neg_cont_type,"Maybe expand the examples to show if you can be more detailed, for example if its an extraction blank.",
Meriam,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Ainash Childebeyeva ,MimsHumanAssociatedAncient,Ancient,palaeopath_status,"Should be renamed to osteological_status, as this is more obvious non-specialists (Stephan disagreed, osteolgoical would then not cover mumies...)",
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Viridiana Villa Islas,MimsHostAssociatedAncient,Ancient,palaeopath_status,should be recommended field.,
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,palaeopath_status,"There is a dot at the end of the column name.",
James,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Olivia Cheronet,MimsHostAssociatdAncient,Ancient,prev_pubs,Update the definition so it is clear wether this pertains to only genomic data or also for example anthropological date,
James,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,prev_pubs,"We could make this recommended. This could be really important in pop gen because population sizes often get inflated. They make it seem that different individuals from a population were samples but it was actually the same ones and this leads to artificially inbred populations. ",
James,2025-04-03,China,James Fellows Yates,Yichen Liu,MimsHumanAssociatedAncient,Ancient,reamplification_polymerase,"Very specific, and many columns already - is it really critical for reanalysis?",
,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Ainash Childebeyeva ,MimsHumanAssociatedAncient,Ancient,recovery_date,"Should be an age rage, in case of excavation seasons",
,2025-01-28,University of Tartu,Meriam Guellil,Marcel Keller,Just Ancient,Ancient,recovery_date,"MK completely disagrees with the use of midpoints here, they introduce potential errors.",
Deon,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Claudio Ottoni,MimsHostAssociatdAncient,Ancient,samp_age_range_inference_methods,None of the available options fits well contextual dating (e.g. when some material associated do the sample was directly dated),
Deon,2025-03-13,London1,Victor Yan Kin Lee,Anatasia Brativnyk,MimsHumanAssociatedAncient,Ancient,samp_age_range_inference_methods,Unclear what relative dating means,
Deon,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach & Jonas Niemann,MimsHostAssociatedAncient,Ancient,samp_age_range_inference_methods,"should be mandatory, since sample_age is mandatory.",
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Stephen Clayton,MimsHumanAssociatedAncient; applied to all,Ancient,samp_age_range_oldest_limit,Is this want oldest evidence for habitation at the site? Of the direct date of the individual? The culture you are excavating? The graves you dug up? Give more precise and diverse examples in the description,
Deon,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Ancient,samp_age_range*,It would be useful if the description of this term included adding the citation for the method of dating.,
Deon,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Anna-Lena Titze,MimsHumanAssociatedAncient,Ancient,samp_age_range*,Sample ages should ideally be reported as uncalibrated (but this should be addressed and covered by the RCD extension),
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,samp_age_range*,"The inference of sample age must be a requirement (not optional). We need to know with confidence how age estimates were obtained, as this controls how much trust we can put in them.",
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Alberto Carmagnini,MimsHumanAssociatedAncient; applied to all,Ancient,samp_age_range*,Dataset consists of different types of dating information - implementation of dropdown menu per row especially regarding the mandatory and optional information,
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Vanessa Villalba & Laura Claudia Verdes,MimsHumanAssociatedAncient; applied to all,Ancient,samp_age_range*,Many info regarding 14C that is optional but should be mandatory regarding equip used etc,
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Multiple people,MimsHumanAssociatedAncient; applied to all,Ancient,samp_age_range*,"Decide from a dropdown menu the type of dating that we have available that will determine the remaining of the info that we need to fill. If it's 14C we need mandatory fields (raw measurement, error, ID determination) that people after can do the calibration themselves. In that we need the option of relative dating that will require less mandatory fields",
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"It is not very well presented here. In the current format it will lead to the people inserting the dates in incomparable ways. It could be probably a good idea to have a dropdown menu before everything, so it can guide the subsequent informations to be filled. ",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"individuals__radio_14Cdate, to be changed to individuals__raw_radio_14Cdate: The raw C14 value sent by the dating company, raw, untouched, uncalibrated. In other words, the value given by the C14-dating company. ",In radiocarbon extension?
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"individuals__radio_14Cerror, to be changed to individuals__raw_radio_14Cerror: 
The error of the raw C14 value sent by the dating company, raw, untouched, uncalibrated.  ",In radiocarbon extension?
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"individuals__radio_14Clabcode: 
The code of the measurement provided by the dating company (i.e., this is a unique code, with the following format : AA-90288 / UGA-8660 / D-AMS 030191 / CIRAM-5979).  ",In radiocarbon extension?
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"individuals__date_median to be renamed as individuals__calBP_C14_median_date: 
This is the calibrated median probability calculated by a calibration software on the raw C14 date of the individual. This value can be used in the analyses, and must be the same value that is included in the column individuals__date.  ",In radiocarbon extension?
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"Contextual dates of sites based of some individuals: 
– sites__radio_14C_date, changed to sites__radio_raw_average_14C_date: 
Average of all ABSOLUTE (Raw) and UNCALIBRATED dates available for that site that can be confidently associated with any other individual of the same site. Only archaeologists can provide the information of when this is possible to do. ATTENTION: is it not always the case that individuals of the same sites are synchronous. Very often archaeological sites are diachronic or chronologically asynchronous. ",In radiocarbon extension?
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,sites__radio_14C_error to be renamed as sites__radio_raw_average_14C_error ,In radiocarbon extension?
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"sites__calBP14C_median_date: 
This is the calibrated median probability calculated by a calibration software on the average of the uncalibrated C14 dates of the site. This value can be used in the analyses when there is no direct date of the individual (i.e., no value in individuals__calBP_C14_median_date), and in such cases, it must be the same value that is included in the column individuals__date. ",In radiocarbon extension?
